Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kuskokwim River Sonar,,,2020,07/22,Kuskokwim River Sonar,Chum,1282,1282,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/23,Kuskokwim River Sonar,Chum,862,862,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/24,Kuskokwim River Sonar,Chum,2491,2491,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/25,Kuskokwim River Sonar,Chum,2312,2312,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/26,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/27,Kuskokwim River Sonar,Chum,300,300,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/28,Kuskokwim River Sonar,Chum,978,978,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/29,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/30,Kuskokwim River Sonar,Chum,866,866,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/31,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/01,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/02,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/03,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/04,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/05,Kuskokwim River Sonar,Chum,219,219,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/06,Kuskokwim River Sonar,Chum,264,264,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/07,Kuskokwim River Sonar,Chum,508,508,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/08,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/09,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/10,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/11,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/12,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/13,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/14,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/15,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/16,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/17,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/18,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/19,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/20,Kuskokwim River Sonar,Chum,1054,1054,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/21,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/22,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/23,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/24,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
