Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kuskokwim River Sonar,,,2020,08/14,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/15,Kuskokwim River Sonar,Sockeye,1015,1015,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/16,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/17,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/18,Kuskokwim River Sonar,Sockeye,831,831,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/19,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/20,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/21,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/22,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/23,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/24,Kuskokwim River Sonar,Sockeye,361,361,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/25,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/26,Kuskokwim River Sonar,Sockeye,,,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/01,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/02,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/03,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/04,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/05,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/06,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/07,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/08,Kuskokwim River Sonar,Sockeye,303,303,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/09,Kuskokwim River Sonar,Sockeye,355,355,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/10,Kuskokwim River Sonar,Sockeye,737,737,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/11,Kuskokwim River Sonar,Sockeye,950,950,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/12,Kuskokwim River Sonar,Sockeye,830,830,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/13,Kuskokwim River Sonar,Sockeye,994,994,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/14,Kuskokwim River Sonar,Sockeye,2037,2037,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/15,Kuskokwim River Sonar,Sockeye,1355,1355,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/16,Kuskokwim River Sonar,Sockeye,3333,3333,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/17,Kuskokwim River Sonar,Sockeye,4342,4342,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/18,Kuskokwim River Sonar,Sockeye,6635,6635,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/19,Kuskokwim River Sonar,Sockeye,1569,1569,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/20,Kuskokwim River Sonar,Sockeye,1674,1674,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/21,Kuskokwim River Sonar,Sockeye,7421,7421,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/22,Kuskokwim River Sonar,Sockeye,6246,6246,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/23,Kuskokwim River Sonar,Sockeye,5071,5071,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/24,Kuskokwim River Sonar,Sockeye,6549,6549,Calculated,Sonar
Kuskokwim River Sonar,,,2021,06/25,Kuskokwim River Sonar,Sockeye,7705,7705,Calculated,Sonar
